Product ID,Product Name,Category,Price,Discount,Tax Rate,Stock Level,Supplier ID,Customer Age Group,Customer Location,Customer Gender,Shipping Cost,Shipping Method,Return Rate,Seasonality,Popularity Index
P9998,Tablet,Electronics,1923.97,15,15,448,S614,35-44,Singapore,Female,30.56,Overnight,12.67,No,78
P6985,Jacket,Apparel,1283.31,20,15,200,S403,55+,"Tokyo, Japan",Non-Binary,14.53,Standard,8.72,Yes,87
P3129,Tablet,Electronics,231.91,25,5,411,S587,25-34,"Dubai, UAE",Male,39.52,Overnight,18.58,No,81
P7606,Gaming Console,Electronics,617.7,25,10,279,S244,25-34,Singapore,Female,5.63,Standard,5.93,Yes,97
P1015,Sneakers,Footwear,1437.47,15,12,175,S925,45-54,"New York, USA",Female,6.7,Overnight,19.58,No,37
P8039,Magazines,Books,1812.95,5,8,374,S598,55+,"New York, USA",Male,43.75,Standard,14.99,No,97
P3405,Sweater,Apparel,378.81,0,5,489,S835,45-54,"Paris, France",Female,47.19,Standard,9.95,No,6
P8934,Jacket,Apparel,1039.63,15,15,255,S858,35-44,"Houston, USA",Non-Binary,4.76,Overnight,4.43,No,52
P4228,T-shirt,Apparel,1777.87,0,8,260,S159,45-54,Singapore,Female,10.55,Overnight,5.23,No,0
P7684,Sneakers,Footwear,1186.64,5,10,224,S516,25-34,"Los Angeles, USA",Non-Binary,4.08,Express,9.39,No,16
P3933,Speaker,Electronics,640.22,15,12,67,S508,25-34,"Cape Town, South Africa",Non-Binary,23.36,Standard,18.78,No,79
P3736,Speaker,Electronics,461.36,0,12,216,S101,35-44,"Houston, USA",Male,35,Overnight,12.27,Yes,85
P7620,Sneakers,Footwear,1899.38,5,8,343,S682,18-24,"New York, USA",Female,18.83,Overnight,9.28,Yes,55
P4910,Washing Machine,Home Appliances,1672.49,25,5,330,S171,18-24,"Cape Town, South Africa",Female,22.11,Overnight,11.57,No,45
P2094,Tablet,Electronics,1045.1,10,15,212,S546,35-44,"Berlin, Germany",Male,33.99,Standard,2.22,No,84
P4803,Refrigerator,Home Appliances,1639.9,15,12,368,S928,25-34,"Houston, USA",Female,33.3,Express,16.24,Yes,49
P9994,Flats,Footwear,54.5,20,15,419,S105,55+,"Berlin, Germany",Male,43.53,Standard,10.75,Yes,71
P1860,Microwave,Home Appliances,1009.24,0,5,12,S587,35-44,"London, UK",Female,49.55,Standard,16.13,Yes,68
P9120,Gaming Console,Electronics,401.65,20,8,403,S819,35-44,"Los Angeles, USA",Non-Binary,15.89,Overnight,19.3,Yes,9
P8660,Non-Fiction,Books,522.34,0,12,293,S793,35-44,"Tokyo, Japan",Female,20.2,Express,8.7,No,22
P5547,Hiking Shoes,Footwear,1344.31,5,8,438,S698,45-54,"Mumbai, India",Female,36.73,Standard,13.6,No,20
P8813,Jacket,Apparel,1566.46,10,12,253,S908,25-34,"Houston, USA",Female,33.95,Standard,10.16,No,2
P2663,Magazines,Books,838.55,0,15,257,S934,45-54,"Mumbai, India",Female,2.1,Standard,12.23,Yes,88
P8974,Non-Fiction,Books,716.31,20,10,51,S417,55+,"Mumbai, India",Female,19.24,Overnight,19.74,No,61
P9313,Sweater,Apparel,1443.85,20,8,398,S126,35-44,"London, UK",Female,46.58,Standard,3.1,Yes,45
P5623,Sneakers,Footwear,571.73,20,12,204,S780,35-44,"Mumbai, India",Non-Binary,2.37,Express,13.75,Yes,77
P5319,Smartphone,Electronics,852.19,20,15,79,S132,45-54,"Phoenix, USA",Male,46.79,Express,1.39,Yes,90
P4776,Formal Shoes,Footwear,396.89,0,8,226,S392,35-44,"London, UK",Non-Binary,24.13,Express,6.5,Yes,74
P1757,Air Conditioner,Home Appliances,843.76,25,12,29,S409,25-34,"London, UK",Male,18,Standard,8.05,Yes,2
P1902,Dress,Apparel,1289.82,25,10,407,S303,25-34,Singapore,Non-Binary,46.59,Express,8.16,Yes,62
P5478,Sandals,Footwear,1675.4,0,12,246,S729,55+,"Los Angeles, USA",Female,0.74,Express,11.19,No,96
P4700,Graphic Novels,Books,1823.61,15,10,33,S262,45-54,"Paris, France",Non-Binary,37.04,Standard,14.1,Yes,28
P6829,Gaming Console,Electronics,647.28,10,15,259,S414,45-54,"Houston, USA",Female,28.69,Express,16.04,Yes,8
P1625,Camera,Electronics,412.33,5,12,49,S425,55+,"Houston, USA",Female,4.97,Standard,6.33,No,55
P9246,Slippers,Footwear,683.69,5,8,179,S737,18-24,"Mumbai, India",Female,19.56,Standard,8.34,Yes,62
P8021,Monitor,Electronics,78.78,20,10,21,S748,45-54,"Cape Town, South Africa",Female,34.35,Standard,7.52,Yes,68
P1093,Dishwasher,Home Appliances,1260.23,15,8,500,S587,55+,"Chicago, USA",Non-Binary,42.18,Standard,13.5,No,10
P1331,Sandals,Footwear,1412.3,15,5,249,S955,55+,"Tokyo, Japan",Non-Binary,4.97,Overnight,13.81,Yes,19
P8384,Fiction,Books,849.76,10,5,201,S398,55+,"London, UK",Male,33.58,Overnight,10.35,Yes,22
P8905,Smartwatch,Electronics,191.79,10,5,186,S512,35-44,"London, UK",Female,14.85,Express,16.75,Yes,67
P3647,Fiction,Books,945.37,25,8,29,S139,18-24,"Los Angeles, USA",Non-Binary,48.66,Express,3.56,No,8
P6603,Refrigerator,Home Appliances,1991.56,25,10,444,S114,25-34,"Chicago, USA",Non-Binary,2.58,Standard,3.84,No,13
P4207,Non-Fiction,Books,532.14,0,10,126,S306,25-34,"Los Angeles, USA",Non-Binary,18.56,Overnight,7.11,No,31
P3391,T-shirt,Apparel,1917.52,15,12,198,S578,25-34,Singapore,Female,38.23,Overnight,11.98,Yes,43
P5317,Running Shoes,Footwear,252.46,25,8,219,S459,45-54,Singapore,Non-Binary,49.71,Express,11.58,No,52
P1030,Toaster,Home Appliances,1192.27,15,15,365,S492,45-54,"Sydney, Australia",Male,48.73,Standard,1.8,Yes,35
P2323,Smartwatch,Electronics,1269.21,0,8,293,S648,45-54,"Tokyo, Japan",Female,43.88,Overnight,11.79,No,18
P4222,Vacuum Cleaner,Home Appliances,248.84,0,15,176,S642,45-54,"Paris, France",Male,11.15,Overnight,12.9,No,37
P8135,Fiction,Books,599.08,10,12,252,S371,35-44,"Los Angeles, USA",Male,24.05,Express,4.15,Yes,56
P4376,Skirt,Apparel,713.6,5,10,478,S619,25-34,"Phoenix, USA",Non-Binary,42.97,Standard,18.38,No,68
P1059,Cookbooks,Books,1611.51,10,5,459,S490,55+,"London, UK",Female,8.35,Standard,8.56,Yes,41
P6919,Tablet,Electronics,1373.5,20,12,299,S880,45-54,"Mumbai, India",Non-Binary,40.81,Express,17.8,No,52
P7762,Comics,Books,1389.3,0,8,337,S929,25-34,"Dubai, UAE",Female,17.48,Express,3.2,No,63
P6515,Smartwatch,Electronics,665.23,0,15,6,S982,18-24,"Tokyo, Japan",Non-Binary,44.02,Express,7.83,No,41
P3993,Jeans,Apparel,903.44,10,12,498,S799,18-24,"Cape Town, South Africa",Male,6.79,Express,11.08,No,1
P9970,Non-Fiction,Books,330.43,20,5,257,S674,35-44,"Sydney, Australia",Female,38.13,Standard,8,No,48
P3835,T-shirt,Apparel,422.15,25,15,21,S234,25-34,"Phoenix, USA",Male,17.82,Overnight,4.84,No,85
P7492,Monitor,Electronics,1723.09,5,12,101,S984,25-34,"New York, USA",Female,44.81,Standard,2,No,62
P5736,Speaker,Electronics,831.14,25,15,51,S521,45-54,"Phoenix, USA",Female,29.12,Express,8.34,No,93
P5728,Speaker,Electronics,1702.88,10,12,331,S541,45-54,"Toronto, Canada",Non-Binary,35.44,Standard,1.43,No,16
P4611,Boots,Footwear,1776.16,0,5,362,S478,18-24,"Berlin, Germany",Female,21.5,Overnight,18.97,No,90
P1752,Biographies,Books,299.49,15,15,236,S778,45-54,"Chicago, USA",Female,33.78,Overnight,17.92,No,68
P4350,Hiking Shoes,Footwear,1347.26,25,8,333,S208,45-54,"New York, USA",Male,12.41,Standard,7.15,No,54
P9314,Comics,Books,128.77,10,5,366,S119,35-44,"Paris, France",Female,14.54,Express,17.32,Yes,80
P1295,Tablet,Electronics,873.14,25,10,268,S340,25-34,"Los Angeles, USA",Female,32.56,Standard,19.46,No,25
P4995,Vacuum Cleaner,Home Appliances,1155.19,5,12,106,S247,25-34,"Cape Town, South Africa",Female,13.23,Express,17.77,No,64
P5334,Gaming Console,Electronics,1916.89,20,10,439,S367,18-24,"Los Angeles, USA",Male,23.53,Express,11.77,Yes,82
P5162,Formal Shoes,Footwear,854.53,20,12,46,S861,45-54,"Paris, France",Non-Binary,6.27,Overnight,13.13,Yes,41
P3373,Skirt,Apparel,1083.2,15,5,218,S235,18-24,"Berlin, Germany",Male,2.1,Overnight,3.05,Yes,61
P5223,Dishwasher,Home Appliances,983.84,5,8,395,S255,18-24,"New York, USA",Non-Binary,38.95,Express,15.72,Yes,78
P4165,Microwave,Home Appliances,1992.66,25,5,39,S764,25-34,"Los Angeles, USA",Non-Binary,47.64,Overnight,13.61,Yes,92
P4149,Comics,Books,1205.22,25,8,116,S574,18-24,"Chicago, USA",Female,9.15,Overnight,3.83,No,40
P3367,Dishwasher,Home Appliances,305.92,15,15,135,S518,55+,"Chicago, USA",Male,47.12,Express,5.79,No,67
P5496,Blender,Home Appliances,667.94,5,8,190,S377,18-24,"Los Angeles, USA",Non-Binary,42.48,Standard,8.14,Yes,32
P3457,Slippers,Footwear,365.18,10,10,392,S191,25-34,"Paris, France",Female,41.14,Standard,5.58,Yes,28
P3900,Gaming Console,Electronics,1478.16,25,10,126,S100,18-24,"Dubai, UAE",Male,43.24,Express,3.97,No,57
P5341,Microwave,Home Appliances,150.75,25,5,103,S499,18-24,"Toronto, Canada",Non-Binary,5.6,Standard,6.81,Yes,29
P1344,Formal Shoes,Footwear,1663.85,10,8,46,S628,45-54,"Paris, France",Male,11.11,Standard,14.24,No,50
P1548,Air Conditioner,Home Appliances,1920.43,10,15,452,S661,25-34,"Tokyo, Japan",Non-Binary,18.26,Standard,5.92,No,36
P5504,Headphones,Electronics,1233.45,25,10,48,S206,55+,"Toronto, Canada",Male,31.12,Overnight,17.64,No,59
P3634,Shirt,Apparel,337.75,25,10,48,S999,55+,"London, UK",Male,29.39,Overnight,1.03,Yes,26
P7053,Dishwasher,Home Appliances,1488.38,25,15,462,S516,35-44,"Tokyo, Japan",Non-Binary,3.96,Express,17.4,Yes,60
P2723,Jacket,Apparel,1109.9,5,12,56,S953,45-54,"Mumbai, India",Male,45.98,Standard,17.72,No,70
P3870,Sweater,Apparel,123.97,25,8,269,S657,45-54,"Phoenix, USA",Female,37.58,Standard,19.83,Yes,17
P4667,Toaster,Home Appliances,81.52,25,8,164,S833,45-54,"Tokyo, Japan",Male,10.81,Overnight,17.15,No,6
P8563,Fiction,Books,1670.24,0,15,272,S316,25-34,"Los Angeles, USA",Female,45.75,Express,11.19,Yes,52
P3524,Comics,Books,917.1,25,15,281,S117,45-54,"London, UK",Non-Binary,23.44,Standard,7.71,Yes,12
P8319,Sneakers,Footwear,409.71,20,10,32,S567,18-24,"Sydney, Australia",Female,2.92,Overnight,15.88,No,56
P5786,Sandals,Footwear,1585.12,25,8,430,S941,18-24,"Dubai, UAE",Female,42.41,Overnight,1.09,Yes,10
P8521,T-shirt,Apparel,339.37,0,15,156,S341,18-24,"Los Angeles, USA",Female,45.12,Express,10.25,Yes,68
P9085,Dishwasher,Home Appliances,1986.23,0,5,494,S551,45-54,Singapore,Non-Binary,19.82,Standard,4.02,No,22
P9639,Blender,Home Appliances,512.21,20,8,222,S992,18-24,"Dubai, UAE",Non-Binary,26.11,Standard,11.62,No,19
P7927,Sandals,Footwear,27.33,25,15,423,S966,45-54,"Tokyo, Japan",Non-Binary,48.49,Express,10.73,No,56
P6749,Boots,Footwear,967.15,0,10,384,S733,18-24,"Phoenix, USA",Male,41.01,Standard,11.12,Yes,92
P6668,Sandals,Footwear,735.67,5,12,22,S892,25-34,Singapore,Male,10.12,Overnight,8.41,No,63
P1100,Hiking Shoes,Footwear,1672.77,20,10,230,S565,45-54,"Phoenix, USA",Female,24.19,Overnight,6.71,Yes,86
P9256,Comics,Books,1776.23,10,10,291,S663,18-24,"Sydney, Australia",Female,5.22,Standard,13.06,No,23
P3326,Vacuum Cleaner,Home Appliances,1538.91,10,12,433,S921,45-54,"Houston, USA",Male,22.71,Express,18.38,No,67
P2621,Graphic Novels,Books,1388.95,15,5,432,S277,45-54,"Toronto, Canada",Female,32.91,Express,3.98,No,9
P1704,Microwave,Home Appliances,388.4,5,12,241,S797,45-54,"Sydney, Australia",Non-Binary,19.44,Overnight,7.75,No,31
P8067,Jeans,Apparel,1433.7,20,10,50,S896,35-44,"Houston, USA",Female,18.67,Express,11.49,Yes,25
P8218,T-shirt,Apparel,56.78,20,10,142,S256,35-44,"Cape Town, South Africa",Non-Binary,0.2,Express,15.18,Yes,96
P9467,Textbooks,Books,1859.85,25,10,107,S446,55+,"Tokyo, Japan",Male,45.9,Standard,11.48,No,61
P5210,Headphones,Electronics,17,10,12,487,S735,55+,"London, UK",Non-Binary,34.73,Express,8.13,No,3
P6435,Sweater,Apparel,992.03,5,10,11,S899,45-54,"Los Angeles, USA",Female,27.12,Standard,18.64,Yes,25
P9159,Air Conditioner,Home Appliances,1299.75,5,12,182,S149,55+,"Cape Town, South Africa",Male,41.7,Express,14.96,Yes,62
P6930,Biographies,Books,1404.22,10,15,73,S673,55+,"Paris, France",Female,49.95,Overnight,7.1,No,94
P7026,Refrigerator,Home Appliances,78.13,5,5,496,S736,25-34,"Chicago, USA",Female,35.78,Express,12.22,No,23
P4383,Tablet,Electronics,1728.75,10,12,72,S489,35-44,"Los Angeles, USA",Male,29.76,Standard,10.6,No,60
P9238,T-shirt,Apparel,170.49,25,10,20,S375,25-34,"New York, USA",Male,41.98,Express,16.89,No,12
P7130,Jeans,Apparel,1542.29,0,15,446,S657,55+,"Chicago, USA",Female,32.24,Standard,12.39,Yes,63
P3746,Tablet,Electronics,1850.31,0,12,186,S260,35-44,"London, UK",Male,0.14,Standard,15.77,Yes,71
P4640,Gaming Console,Electronics,348,0,5,252,S689,18-24,Singapore,Female,24.93,Express,5.49,No,94
P7454,Socks,Apparel,1973.76,0,10,75,S859,45-54,"Phoenix, USA",Female,45.39,Express,15.68,Yes,29
P1280,Fiction,Books,1699.58,20,8,64,S711,35-44,"New York, USA",Male,25.48,Standard,10.95,Yes,27
P8290,Fiction,Books,1779.17,0,8,431,S751,25-34,Singapore,Male,12.53,Express,14.91,Yes,41
P9039,Biographies,Books,717.26,0,15,383,S138,55+,"New York, USA",Male,49.05,Standard,9.12,Yes,18
P8996,Fiction,Books,249.25,15,15,93,S241,18-24,"Cape Town, South Africa",Non-Binary,37.61,Express,2.65,Yes,58
P2005,Toaster,Home Appliances,412.47,25,8,467,S950,55+,Singapore,Female,15.46,Express,18.37,No,29
P1829,Shorts,Apparel,1313.67,5,10,21,S940,45-54,"Phoenix, USA",Male,11.24,Express,8.69,No,10
P9813,Headphones,Electronics,23.64,10,5,199,S454,55+,"Toronto, Canada",Female,9.46,Standard,13.97,No,38
P1135,T-shirt,Apparel,1613.35,10,5,340,S769,55+,"Tokyo, Japan",Male,34.76,Standard,5.11,Yes,61
P4375,Graphic Novels,Books,711.28,0,15,340,S597,25-34,"Mumbai, India",Female,9.7,Express,6.75,No,8
P9028,Smartphone,Electronics,1041.48,5,12,119,S848,45-54,"Tokyo, Japan",Male,46.44,Overnight,4.21,Yes,87
P3644,Slippers,Footwear,156.53,5,5,368,S372,25-34,"Cape Town, South Africa",Female,19.75,Overnight,8.56,No,79
P7352,Speaker,Electronics,1522.38,15,5,174,S684,35-44,"Toronto, Canada",Male,39.16,Overnight,4.98,Yes,29
P5338,Dishwasher,Home Appliances,761.64,25,10,146,S141,35-44,"London, UK",Female,2.67,Standard,16.03,Yes,93
P1044,Microwave,Home Appliances,523.92,25,15,319,S530,35-44,"Toronto, Canada",Female,32.17,Express,13.56,No,31
P6062,Boots,Footwear,411.96,0,8,99,S190,25-34,"Berlin, Germany",Non-Binary,31.43,Standard,16.95,No,62
P9179,Shirt,Apparel,665.02,25,15,470,S471,55+,"Toronto, Canada",Female,49.6,Express,16.92,No,24
P6931,Formal Shoes,Footwear,1216.44,0,8,292,S110,25-34,"Dubai, UAE",Non-Binary,1.91,Express,13.86,Yes,29
P1378,Graphic Novels,Books,1694.09,25,15,103,S476,18-24,"Paris, France",Female,10.93,Express,5.98,No,32
P1747,Magazines,Books,123.44,20,15,379,S161,25-34,"London, UK",Female,37.44,Overnight,19.91,No,94
P3750,Running Shoes,Footwear,1239.66,25,5,450,S533,25-34,"Houston, USA",Male,26.3,Overnight,6.6,No,40
P7503,Slippers,Footwear,1937.38,25,12,362,S392,45-54,"Mumbai, India",Female,30.15,Express,9.23,Yes,77
P3874,Magazines,Books,1140.51,25,10,460,S555,35-44,"Mumbai, India",Non-Binary,36.34,Overnight,9.77,No,64
P2897,Jeans,Apparel,906.96,0,5,94,S798,25-34,"Cape Town, South Africa",Female,36.23,Express,11.33,No,36
P1730,Monitor,Electronics,198.99,0,12,374,S220,55+,"Cape Town, South Africa",Male,0.93,Express,3.02,No,30
P8587,T-shirt,Apparel,813.8,25,8,321,S865,55+,"Sydney, Australia",Non-Binary,31.35,Overnight,4.74,No,26
P4309,Jacket,Apparel,955.14,20,8,190,S796,25-34,"Los Angeles, USA",Non-Binary,36.41,Express,18.37,No,72
P1633,Dress,Apparel,1403.12,20,8,271,S584,55+,"Chicago, USA",Female,35.66,Express,12.59,Yes,50
P3367,Smartwatch,Electronics,1521.26,5,12,140,S251,45-54,"Chicago, USA",Non-Binary,35.32,Overnight,9.51,Yes,36
P7030,Non-Fiction,Books,701.06,5,15,407,S168,35-44,"Phoenix, USA",Non-Binary,18.81,Standard,13.62,No,18
P1003,Dishwasher,Home Appliances,1110.61,0,12,14,S827,55+,"Paris, France",Non-Binary,19.93,Express,5.84,No,83
P4761,Toaster,Home Appliances,1411.58,0,15,32,S681,25-34,"Phoenix, USA",Non-Binary,2.82,Overnight,9.47,Yes,94
P4145,Toaster,Home Appliances,1339.73,20,5,222,S195,25-34,"Cape Town, South Africa",Non-Binary,41.32,Standard,17.35,No,77
P2361,Skirt,Apparel,58.16,15,12,301,S436,25-34,"New York, USA",Female,17.55,Overnight,19.93,Yes,87
P9180,Gaming Console,Electronics,1752.15,5,10,137,S218,55+,"Mumbai, India",Female,36.97,Express,16.84,Yes,30
P1153,Socks,Apparel,1137.44,15,12,371,S611,55+,Singapore,Non-Binary,49.98,Standard,14.46,Yes,21
P1309,Sandals,Footwear,1164.75,5,10,63,S968,25-34,"Paris, France",Male,11.14,Express,18.95,No,50
P3548,Refrigerator,Home Appliances,502.61,10,15,460,S583,55+,"Mumbai, India",Non-Binary,46.98,Overnight,4.79,No,84
P1134,Shorts,Apparel,1176.02,10,15,58,S655,35-44,"Dubai, UAE",Female,10.14,Overnight,3.39,Yes,83
P3236,Dishwasher,Home Appliances,1667.7,0,15,330,S372,35-44,"Berlin, Germany",Non-Binary,8.7,Express,19.64,Yes,54
P8556,Sneakers,Footwear,1724.86,10,10,364,S104,45-54,"Sydney, Australia",Non-Binary,45.22,Standard,6.91,No,48
P3542,Graphic Novels,Books,1103.34,10,10,14,S706,45-54,"Houston, USA",Non-Binary,17.55,Overnight,4.59,Yes,1
P5159,Shirt,Apparel,346.82,20,12,114,S250,45-54,"Cape Town, South Africa",Female,4.96,Express,16.52,No,14
P7832,Dishwasher,Home Appliances,1473.11,0,12,295,S501,45-54,"Toronto, Canada",Female,35.1,Overnight,11.1,Yes,71
P8531,Camera,Electronics,536.45,25,15,380,S888,35-44,"Sydney, Australia",Male,41.18,Express,2.53,No,63
P3970,Non-Fiction,Books,1462.2,15,5,413,S591,45-54,"Sydney, Australia",Female,8.74,Express,14.16,Yes,91
P3300,Jeans,Apparel,1364.13,25,8,190,S217,45-54,"Sydney, Australia",Male,15.72,Standard,4.14,No,23
P2047,Laptop,Electronics,1834.08,10,15,279,S106,18-24,"Dubai, UAE",Non-Binary,8.76,Express,8.7,Yes,3
P4960,Headphones,Electronics,1123.7,20,8,249,S547,25-34,"New York, USA",Male,20.87,Overnight,17.2,No,45
P3578,Graphic Novels,Books,1628.11,10,10,158,S804,18-24,"Cape Town, South Africa",Female,31.73,Overnight,7.32,Yes,28
P1714,Jacket,Apparel,42.68,10,8,386,S640,25-34,"Paris, France",Female,40.26,Express,10.86,Yes,81
P8001,Speaker,Electronics,1812.41,25,8,331,S360,55+,Singapore,Non-Binary,49.03,Overnight,13.13,Yes,48
P3025,Boots,Footwear,1141.99,20,10,424,S468,35-44,"Tokyo, Japan",Non-Binary,39.73,Overnight,14.26,No,61
P8011,Slippers,Footwear,423.17,0,15,24,S800,18-24,"Cape Town, South Africa",Non-Binary,15.86,Overnight,5.96,Yes,49
P8126,Non-Fiction,Books,70.19,10,15,323,S678,18-24,"Los Angeles, USA",Male,40.04,Express,15.94,Yes,82
P3748,Formal Shoes,Footwear,155.68,25,12,8,S115,55+,"London, UK",Female,21.01,Standard,15.68,No,89
P1267,Smartphone,Electronics,92.93,25,10,126,S239,35-44,"Dubai, UAE",Female,29.72,Standard,16.7,Yes,95
P3461,Smartwatch,Electronics,1189.17,10,15,315,S696,35-44,"Sydney, Australia",Female,41.55,Express,9.55,Yes,69
P5401,Toaster,Home Appliances,1576.74,20,5,75,S512,35-44,"Tokyo, Japan",Male,35.05,Express,18.39,Yes,3
P1293,Sneakers,Footwear,1827.23,15,12,269,S786,18-24,"London, UK",Non-Binary,22.12,Express,2.41,Yes,24
P5828,Smartphone,Electronics,1912.3,20,8,240,S584,35-44,"Chicago, USA",Non-Binary,16.61,Overnight,15.19,Yes,47
P1198,Gaming Console,Electronics,170.81,25,8,386,S203,45-54,"Dubai, UAE",Non-Binary,34.41,Express,18.14,Yes,40
P3796,Shorts,Apparel,371.13,25,10,489,S664,18-24,"Mumbai, India",Non-Binary,47.65,Standard,18.01,No,68
P1308,Headphones,Electronics,433.57,5,5,261,S871,55+,"Dubai, UAE",Female,19.03,Standard,18.01,Yes,90
P8201,Blender,Home Appliances,1750.33,0,10,411,S265,18-24,"Cape Town, South Africa",Female,38.5,Express,11.34,Yes,28
P6210,Fiction,Books,1728.94,10,15,444,S273,55+,"Paris, France",Non-Binary,25.61,Express,3.67,No,81
P8850,Headphones,Electronics,1724.4,5,8,132,S748,18-24,"Houston, USA",Non-Binary,42.26,Overnight,2.3,No,67
P5299,Jeans,Apparel,158.61,25,15,282,S126,55+,"Toronto, Canada",Male,1.81,Overnight,17.11,Yes,68
